Name,Street_Address,City,State,ZIP,Full_Address,Hours,Website,Description,Source_URL
Silver Dollar Winery,8264 US-290,Johnson City,Texas,78636,"8264 US-290, Johnson City, Texas 78636","HOURS: Tue-Thur 11-6, Fri-Sat 11-8, Sun 11-6",http://www.silverdollarwinery.com/,"Since 2015, wine enthusiasts have enjoyed our over 30 sweet, semi-sweet & dry Award Winning White, Rose’ & Red wines at our Texas Family owned boutique winery in Johnson City/Hye. Experience our Bistro with Italian inspired charcuterie, appetizers, pasta dishes & Artisan Pizzas. Drink and dine in our scenic outdoor gardens. Hill Country cabins available. Our goal is to bring you great wines and good times with your friends and family.",https://texashillcountrywineries.org/pages/winery-listing-page
Sister Creek Vineyards,1142 Sisterdale Rd,Boerne,Texas,78006,"1142 Sisterdale Rd, Boerne, Texas 78006","HOURS: Open Daily, see website for operation hours",http://www.sistercreekvineyards.com/,"Celebrating our 36th anniversary of producing award winning wines! Take this scenic route to Fredericksburg and visit an 1885 cotton gin in historic Sisterdale. Wines include Cabernet blends, Muscat Canelli, Chardonnay, Merlot and Sweet Sister Red.",https://texashillcountrywineries.org/pages/winery-listing-page
Slate Theory Winery,10915 US-290,Fredericksburg,Texas,78624,"10915 US-290, Fredericksburg, Texas 78624","HOURS: Sun-Thur 12-5, Fri-Sat 11-7",https://www.slatetheory.com/,"Slate Theory Winery invites guests to “Fill Your Head” and prescribes a full- sensory experience that manifests in the form of psychologically stimulating and award-winning wine. The tasting room is set to the sounds of modern music, enriched with perceptive art, and curated by knowledgeable staff. For those seeking individualized wine tastings, the cave is an unexpected manifestation of complex and elemental architecture.",https://texashillcountrywineries.org/pages/winery-listing-page
Solaro Estate Winery,13111 Silver Creek Rd,Dripping Springs,Texas,78620,"13111 Silver Creek Rd, Dripping Springs, Texas 78620","HOURS: Thur 11-5, Fri-Sat 11-6, Sun-Mon 11-5",http://solaroestate.com/,"In the beginning we wanted to be, above all else, authentic. Built on an ancient fossil bed, we produce int’l awarded wines. Named Texas Winery of the Year & Texas Hill Country Winery of the Year NYIWC, our working ranch, vineyards and winery in Dripping Springs expands above Barton Creek with spectacular vistas of the Texas Hill Country. See y’all at Solaro!",https://texashillcountrywineries.org/pages/winery-listing-page
Spicewood Vineyards,1419 Co Rd 409,Spicewood,Texas,78669,"1419 Co Rd 409, Spicewood, Texas 78669",HOURS: Open Daily 11-6,http://www.spicewoodvineyards.com/,"Home of award-winning estate handcrafted wines from our 32 acre vineyard on site. Hwy 71 go south 7/10 mile on CR 408, then west 1.5 miles on CR 409. Tempranillo, Sauvignon Blanc and many other favorite varietals. Picnic on our veranda. Winemaker tours and tastings. Special event facilities available. We are the wedding venue choice of discerning Texas Brides.",https://texashillcountrywineries.org/pages/winery-listing-page
Stone House Vineyard,24350 Haynie Flat Rd,Spicewood,Texas,78669,"24350 Haynie Flat Rd, Spicewood, Texas 78669","HOURS: Thur-Mon, see website for hours",https://stonehousevineyard.com/,"Beautiful setting on Lake Travis surrounded by vineyards producing award-winning wines 35 minutes from Austin. The winery is constructed with massive limestone blocks, making it both functional and a building of artistic, architectural merit. First Friday specials, monthly wine dinners, private events, and an elevated guest experience. Enjoy a daily menu prepared by our chef from locally sourced ingredients.  Age 21+",https://texashillcountrywineries.org/pages/winery-listing-page
Texas Heritage Vineyard,"3245 E US, US-290",Fredericksburg,Texas,78624,"3245 E US, US-290, Fredericksburg, Texas 78624","HOURS: Sun-Fri 12-5, Sat 10-6",http://www.texasheritagevineyard.com/,"With wines made from 100% Texas grapes to celebrations of Texas History Days, Texas Heritage Vineyard is proud of their Texas roots! Not only do they have a beautiful hill country view off of their back deck, you can listen to Texas musicians playing their songs every weekend afternoon. Discounts for military offered daily. Family owned and operated.",https://texashillcountrywineries.org/pages/winery-listing-page
Texas Hills Vineyard,878 Ranch Rd 2766,Johnson City,Texas,78636,"878 Ranch Rd 2766, Johnson City, Texas 78636","HOURS: Sun-Mon 11-5, Tue-Wed CLOSED, Thur, Fri, Sat 11-8:30 (tasting room closes at 5:30, Speakeasy Red Room open until 8:30)",http://www.texashillsvineyard.com/,"The Texas Wine Trail Starts Here! Over the last 25 years, Texas Hills Vineyard has been one of the most award-winning wineries in the heart of the famed Texas Hill Country. Texas Hills founders started the Texas Wine Trail on their kitchen table. There are now over 60 wineries on the Trail. Please come join us at our table and try some of our award-winning wine. Tasting Room and Gift Shop Open Daily.",https://texashillcountrywineries.org/pages/winery-listing-page
Texas Wine Collective,10354 US-290,Fredericksburg,Texas,78624,"10354 US-290, Fredericksburg, Texas 78624","HOURS: Sun-Thur 11-5, Fri & Sat 10-5:30",https://www.texaswinecollective.com/,"Texas Wine Collective, the first wine collective in the Texas Hill Country, sets the standard for authentic hospitality, presents wines from multiple Texas winemakers, including Brennan Vineyards, Lost Oak Winery, and McPherson Cellars, and is home to Hye Cider. TWC provides expansive outdoor seating, live music on Saturday afternoons, a food truck, and elevated tasting experiences by appt. Children and dogs are always welcome.",https://texashillcountrywineries.org/pages/winery-listing-page
Torr Na Lochs Vineyard,7055 TX-29,Burnet,Texas,78611,"7055 TX-29, Burnet, Texas 78611","HOURS: Tue-Thur & Sun 12-5, Fri & Sat 12-6",http://www.torrnalochs.com/,"Torr Na Lochs loosely translates from Gaelic to Hill Over Lakes. The Winery sits high above the Colorado River valley overlooking Inks & Buchanan Lakes. The leisurely drive along a granite gravel road ends at the winery building, where you can choose from a number of seating options for tasting 100% Texas wines poured at your table by our friendly staff. Stop by, relax, savor creations from our in house chef, and enjoy the wine and view!",https://texashillcountrywineries.org/pages/winery-listing-page
Turtle Creek Olives and Vines,211 Earl Garrett St,Kerrville,Texas,78028,"211 Earl Garrett St, Kerrville, Texas 78028","HOURS: Tue-Sat 12-8, Reservations Recommended",https://www.turtlecreekolivesandvines.com/,"Our Tasting room located inside a Landmark 1890 Masonic Building in historic downtown Kerrville offers a distinctive tasting experience. Our guests enjoy our 100% Texas and Estate Private Label Wines as well as curated wines from respected regions around the world. Enjoy charcuterie, small plates as well as our custom made EVOO gelato. Wine Club/monthly sommelier educational events.",https://texashillcountrywineries.org/pages/winery-listing-page
Turtle Creek Vineyard,183 Fall Creek Rd,Kerrville,Texas,78028,"183 Fall Creek Rd, Kerrville, Texas 78028",HOURS: Friday-Monday 12-6,https://www.turtlecreekvineyard.com/,Turtle Creek Vineyard is the perfect place to relax with a glass of our 100% Texas wines overlooking amazing vistas of Turtle Creek. We are located just 8 miles south of downtown Kerrville off Highway 16. We are family owned and operated that takes pride in the wine produced at our Vineyard. We are dedicated to creating boutique quality wines of award-winning caliber.,https://texashillcountrywineries.org/pages/winery-listing-page
Uplift Vineyard,1411 Co Rd 119,Burnet,Texas,78611,"1411 Co Rd 119, Burnet, Texas 78611",HOURS: Thur-Sun Reservation Only,https://upliftvineyard.com/,"Founded by the team behind William Chris, Uplift Vineyard sits in the Llano Uplift geological region, one of the most unique and desirable spots to grow wine in the Texas Hill Country. Winemaker Claire Richardson seeks to explore and celebrate all that the site has to offer through estate-grown single variety wines as well as classic blends. At Uplift, we offer an intimate and interactive tasting experience.",https://texashillcountrywineries.org/pages/winery-listing-page
Wedding Oak Winery Burnet,229 S Pierce St,Burnet,Texas,78611,"229 S Pierce St, Burnet, Texas 78611",HOURS: See website for operating hours,http://www.weddingoakwinery.com/,"Our historic hospitality center and tasting room highlights the restoration of the historic two-story 1883 Badger Building including a rooftop terrace, large patio, event area, and elevator for easy access. We are deeply committed to 100% Texas Viticulture. Experience exceptional wines and great service on the courthouse square. Our Texas Roots Run Deep!",https://texashillcountrywineries.org/pages/winery-listing-page
Wedding Oak Winery Fredericksburg,"6009 Suite B US, Hwy 290 E",Fredericksburg,Texas,78624,"6009 Suite B US, Hwy 290 E, Fredericksburg, Texas 78624",HOURS: See website for operating hours,http://www.weddingoakwinery.com/,"Come enjoy our wines of purpose, grown from 100% Texas wine grapes, as you relax with your family and friends along the hustle and bustle of Wine Road 290. Located directly across from Alstadt Brewery. Our Texas Roots Run Deep!",https://texashillcountrywineries.org/pages/winery-listing-page
Wedding Oak Winery San Saba,229 S Pierce St,Burnet,Texas,78611,"229 S Pierce St, Burnet, Texas 78611",HOURS: See website for operating hours,http://www.weddingoakwinery.com/,"Located in downtown San Saba at the intersection of US 190 & State Hwy 16, our beautiful tasting room showcases a restored 1926 building and courtyard. We are deeply committed to Texas viticulture and our wines feature warm weather varietals such as Tempranillo, Viognier, Trebbiano, Sangiovese and Muscat Canelli. Come enjoy exceptional wines and great service in an intimate small-town setting. Our Texas Roots Run Deep!",https://texashillcountrywineries.org/pages/winery-listing-page
Wildseed Farms & Winery,100 Legacy Dr,Fredericksburg,Texas,78624,"100 Legacy Dr, Fredericksburg, Texas 78624","HOURS: Mon-Sat 11-5pm, Sun 12-5pm",http://wildseedfarms.com/,"Extraordinary wines begin with exceptional grapes. In 2015, the Thomas family put five generations of farming experience into the planting of their first vineyard. Currently the vineyard has expanded to 55 acres. Wildseed Vineyards is proud to serve white varieties, a rosé, and multiple red wines produced from the estate grown fruit. You can taste the dedication to the vineyard when enjoying wines from Wildseed Vineyards.",https://texashillcountrywineries.org/pages/winery-listing-page
William Chris Vineyards,10352 US-290,Hye,Texas,78635,"10352 US-290, Hye, Texas 78635","HOURS: Sun-Wed 11-5, Thur-Sat 10-6 (Reservations encouraged)",https://www.williamchriswines.com/,"At William Chris Vineyards, we focus on responsibly grown, 100% Texas wine. In addition to farming our vineyards, we work with family-owned farms across the state to source the highest quality fruit. We believe the best wines are ones that express their native terroir. That’s why you’ll hear us say, we are pleased to share a piece of our world. In fall 2022 the World’s Best Vineyards Academy released its annual Top 100 Best Vineyards list, and William Chris Vineyards was listed at #56! All tasting experiences can be found on our website - plan your visit! Real.Texas.Wine.",https://texashillcountrywineries.org/pages/winery-listing-page
